timestamp,px,py,pz,vx,vy,vz,q0,q1,q2,q3
2026-08-09 07:57:46+00:00,3012.3289639373,-3094.536266456,-5288.9996242701,2.9455113039,-5.2164480057,4.7348852883,-0.0987285315,-0.3207283405,-0.451749275,0.826624825
2026-08-09 07:57:56+00:00,3041.5954612763,-3146.5066010226,-5241.3204999713,2.9077170635,-5.1774851618,4.8008130208,-0.1012613385,-0.325379088,-0.451175429,0.8248122955
2026-08-09 07:58:06+00:00,3070.4821680667,-3198.0840400563,-5192.9850785323,2.869556171,-5.1378721355,4.8661457652,-0.10379446,-0.3299975055,-0.4506047415,0.8229724925
2026-08-09 07:58:16+00:00,3098.9854576411,-3249.2621225081,-5143.9993314903,2.831033299,-5.0976137214,4.9308752768,-0.1063166905,-0.3345989515,-0.4500288795,0.8211055415
2026-08-09 07:58:26+00:00,3127.1017284871,-3300.034415622,-5094.3693375835,2.7921531802,-5.0567148172,4.9949933465,-0.1088253235,-0.339154083,-0.4494314585,0.8192331295
2026-08-09 07:58:36+00:00,3154.8274241303,-3350.3945316141,-5044.1012615901,2.7529205973,-5.015180406,5.0584918304,-0.1113396685,-0.3437675035,-0.4487856285,0.817324196
2026-08-09 07:58:46+00:00,3182.1590542434,-3400.3361461684,-4993.2013299783,2.7133403717,-4.9730155371,5.1213626841,-0.1138325165,-0.348303453,-0.4481850015,0.815387679
2026-08-09 07:58:56+00:00,3209.0931653573,-3449.8529843516,-4941.6758572924,2.6734173701,-4.930225348,5.1835979256,-0.116351982,-0.3528719765,-0.447519132,0.813431135
2026-08-09 07:59:06+00:00,3235.6263455852,-3498.9388097479,-4889.5312511375,2.6331565151,-4.8868150673,5.2451896297,-0.118852663,-0.3574148405,-0.446872985,0.811438976
2026-08-09 07:59:16+00:00,3261.7552512836,-3547.5874531673,-4836.7739759636,2.5925627638,-4.8427899863,5.3061299763,-0.1213364705,-0.361916377,-0.446205598,0.8094408945
2026-08-09 07:59:26+00:00,3287.4765770241,-3595.7927974227,-4783.4105823805,2.5516411178,-4.7981554833,5.3664112111,-0.1238312965,-0.366448355,-0.44551721,0.807400662
2026-08-09 07:59:36+00:00,3312.7870606121,-3643.548766563,-4729.447712291,2.5103966332,-4.7529170264,5.4260256401,-0.126329024,-0.37096788,-0.4448125445,0.8053357125
